date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war,users,new_users,num_likes,num_posts,num_images,num_follows,num_blocks
2023-05-22,,,,,,,,,,,,,,a study quantifies the human cost of global warming showing current policies leading to around c global warming could by leave onethird of people outside their climate niche see also may humans longtime range of mean annual temperatures to which their physiology may have largely adapted to it indicates meeting the c goal would decrease the population exposed to unprecedented heat fold and ties itself to earlier research by initially noting that quantifying the social cost of carbon in monetary terms as related or economics studies tend to do may be inadequate,senior pga championship golf international winner steve stricker,applied materials announced plans to invest up to billion in a semiconductor project in sunnyvale california,,,82842.0,4283.0,267915,87998,12854,56894,7953
2023-05-23,,,,,,,,,,,,,,,,,,,87125.0,4283.0,257339,88073,13728,51196,7676
2023-05-24,,,,,,,,,,canada and saudi arabia agree to restore full diplomatic relations after a breakdown in relations in over the assassination of jamal khashoggi,,desantis launches his campaign to run for president of the united states,,,concacaf womens u championship association football continental winner mexico,,,,91408.0,4283.0,270058,91126,13727,56243,7850
2023-05-25,,,,puntland municipal elections,,,,,,russia and belarus sign an agreement in minsk allowing the stationing of russian tactical nuclear weapons on belarusian territory,,,,,,,,,95691.0,4283.0,268080,92240,13545,54652,7779
2023-05-26,,,,,,,,,,,,,,,pan american artistic gymnastics championships artistic gymnastics continental winner united states african artistic gymnastics championships artistic gymnastics continental winner egypt,,,,99974.0,4283.0,280133,97208,14754,60725,8521
2023-05-27,,,,the second round of the mauritanian parliamentary election is held with the ruling el insaf party receiving the most votes mauritanian parliamentary election and,,,,,,,,united states debtceiling crisis house republicans and the white house reach a deal to raise the debt ceiling and prevent the united states from defaulting,,,bal final basketball continental winner al ahly ofc champions league final association football continental winner auckland city,,,,100696.5,722.5,274402,87421,15124,57322,9465
2023-05-28,,,,castilianmanchegan regional election asturian regional election the second round of the turkish presidential election is held recep tayyip erdoan defeats kemal kldarolu with of the vote to win a third term as president the th running of the indianapolis is held with josef newgarden wins his first indy navarrese regional election spanish regional elections balearic regional election aragonese regional election extremaduran regional election canarian regional election madrilenian regional election murcian regional election melilla assembly election ceuta assembly election riojan regional election cantabrian regional election spanish local elections valencian regional election,,,,,,,,,,,monaco grand prix f formula racing international winner max verstappen red bull racinghonda rbpt caf confederation cup final association football continental winner usm alger french open tennis international winner men novak djokovicwomen iga witek,first flight of the comac c chinas first domestically made passenger aircraft takes place between shanghai hongqiao airport and beijing capital airport,,,101419.0,722.5,260637,83206,13829,51615,8624
2023-05-29,,,,alberta general election,,,,,,,,,,,,,,,102141.5,722.5,253553,78430,12728,45638,6292
2023-05-30,hundreds of artificial intelligence experts and other notable figures sign the statement on ai risk mitigating the risk of extinction from ai should be a global priority alongside other societalscale risks such as pandemics and nuclear war,,,,,,,,,,,dutch senate election,,,,nvidia becomes the first chipmaker valued at over trillion amid the ongoing ai boom,,,102864.0,722.5,276621,89600,13657,61182,11513
2023-05-31,,,,the latvian presidential election is held edgars rinkvis is elected the president of latvia,,,,,,,,,,,uefa europa league final association football continental winner sevilla concacaf champions league final association football continental winner león,,,,103586.5,722.5,312592,94137,13981,55031,6882
2023-06-01,,,,,,,,,,,,,,,nba finals basketball domestic winner denver nuggets,caltech reports the first successful beaming of solar energy from space down to a receiver on the ground via the maple instrument on its sspd spacecraft launched into orbit in january,,,104309.0,722.5,278048,87685,14453,53680,5486
2023-06-02,,a train collision in odisha india results in at least deaths and more than others injured,,,,private beta update roadmap our priorities continue to be a focus on moderation and curation to ensure a safe and pleasant environment for users and protocol work to launch federation,,,,,,,physicist lucas lombriser proposes a controversial alternative way of interpreting the available scientific data which suggests that the notion of an expanding universe may be more a mirage than otherwise,,,,,,105795.0,1486.0,271469,88148,14408,56619,5942
2023-06-03,,,,,,,united states debtceiling crisis biden signs the fiscal responsibility act of into law in an effort to prevent the united states from entering a debt ceiling default,,,,,,,,jakarta eprix fe formula racing international winner race pascal wehrlein tag heuer porsche formula e teamrace maximilian günther maserati msg racing uefa womens champions league final association football continental winner barcelona,,,,107281.0,1486.0,263540,83829,14314,48228,4640
2023-06-04,,,,mexican gubernatorial elections guineabissau legislative election,,a privately operated cessna citation v carrying three passengers and a pilot crashed near the george washington national forest virginia killing everyone on board the plane had strayed into restricted airspace and f jets were sent to intercept it the pilots of the jets could see that the pilot of the plane was passed out people are killed by a landslide at a mine in leshan city of sichuan,,,,,,,,,asian u athletics championships athletics continental winner japan caf champions league final association football continental winner al ahly spanish grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,,108767.0,1486.0,263004,80760,14252,45063,4298
2023-06-05,,,,,,,,,,,,,,,,apple announced the apple vision pro a mixed reality headset set to release in early,,,110253.0,1486.0,280130,88776,14245,54441,28808
2023-06-06,,,,kuwaiti general election denver mayoral election democrat mike johnston is elected as mayor of denver,,,,,,,,,,a study finds that the first complete disappearance of arctic sea ice could occur during the s a decade earlier than previously forecast,,,,,111739.0,1486.0,279396,86583,13956,46830,10645
2023-06-07,,,,,,,,,,,,,,scientists report a new mechanism of central nervous system viral diseases including covid fusion of brain cells,uefa europa conference league final association football continental winner west ham united icc world test championship final cricket international winner australia,,,,112647.0,908.0,292864,91974,14715,58199,8067
2023-06-08,,,,,,,,,,,,,,,the summer game fest was held through a combination of various inperson and streamed video events from over forty publishing partners at the youtube theater in los angeles,,,,113555.0,908.0,300149,91832,14911,59058,6879
2023-06-09,,,,,,,,,,,,,,,lionel messi announces he will join major league soccers inter miami cf turning down offers to stay at fc barcelona and to join the saudi professional league debuting with and scoring for the team on july the deal is seen as a blow to saudi arabias sports ambitions but a major boost to soccer in the united states ahead of the fifa world cup,,,,114463.0,908.0,313997,93325,15209,60431,8010
2023-06-10,,,,,,,,,,,,,,,uefa champions league final association football continental winner manchester city asian artistic gymnastics championships artistic gymnastics continental winner japan,,,,116432.66666666667,1969.6666666666715,280078,84152,14779,52989,8978
2023-06-11,,,,montenegrin parliamentary election,,,,,,honduras opens its first embassy in beijing china after breaking off relations with taiwan in march,,,,,,,,,118402.33333333333,1969.666666666657,272873,82847,14882,53252,7862
2023-06-12,,,,,,,,,,eritrea rejoins the intergovernmental authority on development trade bloc after suspending its membership in,,,,a timeuse study provides the first comprehensive birdseye view of what humans currently spend their time on the global human day framework enables better understanding across fields of research of the global human system in contexts such as technological change civilization sustainability global challenges or goals societal changes and economic time allocation it identifies some factors of variations and activities for which there is significant potential for change,,,,,120372.0,1969.6666666666715,291819,86744,14327,61259,9493
2023-06-13,,at least people are killed when a wedding boat capsizes on the niger river in kwara state nigeria,,,,,,,,,,,,,,what is bluesky on bluesky users own their data developers will never get locked out of the ecosystems they help build and creators own their relationships with their audience,,,122868.77777777778,2496.777777777781,322055,102258,15847,66230,7110
2023-06-14,,,,,,embracer group began undergoing a largescale restructuring program due to the failure of a planned us billion deal which would affect some of its studios and ongoing projects,,,,,,,,,uefa nations league finals association football continental winner spain,,,,125365.55555555556,2496.777777777781,338718,105756,16760,99181,12163
2023-06-15,,chad doerman kills three of his children but his wife and stepdaughter manage to escape he was arrested later that daycitation needed,,,,,,,,,,,,,concacaf nations league finals association football continental winner united states eurobasket women basketball continental winner belgium afc u asian cup association football continental winner japan us open golf international winner wyndham clark,,,,127862.33333333333,2496.7777777777665,360404,110425,17301,95026,10419
2023-06-16,,,,,,,,,,,,,,researchers report an fmri study may that identifies circuitries and changes which may be crucial for consciousness in humans or the loss and the recovery thereof in disorders of consciousness eg in coma patients,july afc asian cup,,,,130359.11111111111,2496.777777777781,368991,112976,17702,76271,10964
2023-06-17,,,,,,,,,,,,,,researchers report that a single gasstove burner can raise the indoor concentrations of benzene related to cancer risk to more than that found in secondhand tobacco smoke,,,,,132855.88888888888,2496.7777777777665,332500,93358,17115,62107,8532
2023-06-18,,,,,,,,,,,,malian constitutional referendum,,,canadian grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,titan submersible implosion all five crew members of titan a deepsea submersible exploring the wreck of the titanic are killed following a catastrophic implosion of the vessel,,,135352.66666666666,2496.777777777781,331053,90726,16491,50202,5361
2023-06-19,,,,,,,,,,,,,,researchers review research on the substantial links between social isolation hr and loneliness hr and mortality,,,,,137849.44444444444,2496.777777777781,347120,104024,16327,53637,5848
2023-06-20,,at least people are killed after a riot between ms and barrio gang members at a womens prison near tegucigalpa honduras hunter biden agrees to plead guilty to federal tax and firearms charges,,,,,,,,,,,,,,,,,140346.22222222222,2496.777777777781,355103,104759,16291,51820,5060
2023-06-21,,,,,,yinchuan gas explosion at least people are killed and seven injured by a gas explosion at a barbecue restaurant in the city of yinchuan in the northwest ningxia region the explosion was caused by a leak in a liquefied gas tank inside the restaurant,,,,,,,,,ofc u womens championship association football continental winner new zealand uefa european under championship association football continental winner england saff championship association football regional winner india,the first successful transplant of a functional cryopreserved mammalian kidney is reported the study demonstrates a nanowarming technique for vitrification for upto days preservation of transplant organs,,,142843.0,2496.777777777781,437036,125143,19337,106304,12003
2023-06-22,,,,,,,,a study projects that by the worldwide number of adults with diabetes will more than double from million to over billion no country is expected to see a decline,,,,former us representative from texas will hurd launches his presidential campaign,,,nba draft basketball domestic winner victor wembanyama womens pga championship golf international winner yin ruoning,,,,148464.0,5621.0,696912,200695,32303,347174,34947
2023-06-23,,,,,,moderation in a public commons in this post we share why we believe a public commons is important for social media as well as some proposals for moderation and safety tooling,,,,,,,,,european athletics team championships athletics continental winner italy oceania athletics cup athletics continental winner melanesia,,,russian invasion of ukraine the wagner group led by yevgeny prigozhin begins an armed conflict with the russian military seizing the city of rostovondon and portions of the voronezh oblast before withdrawing the next day after a peace agreement brokered by belarusian president alexander lukashenko,154085.0,5621.0,629775,184324,30509,190458,17110
2023-06-24,,,,sierra leonean general election,,a freight train carrying hazardous materials derails causing several cars to fall into the yellowstone river,,,,,,,,,concacaf gold cup association football continental winner mexico u africa cup of nations association football continental winner morocco fiba under basketball world cup basketball international winner spain portland eprix fe formula racing international winner nick cassidy envision racing,,,,159211.125,5126.125,507897,140109,26006,115767,8302
2023-06-25,,,,the june greek legislative election is held kyriakos mitsotakis becomes prime minister after his centreright party new democracy wins a majority of seats in the greek parliament,,,,,,,,,,,us senior open golf international winner bernhard langer,,the hollywood bowl orchestra performed a year anniversary concert for the game awards an endoftheyear awards ceremony that has been running since at the hollywood bowl in los angeles,,164337.25,5126.125,473119,131752,24402,92364,9129
2023-06-26,,,,molise regional election june,,,,,,,,,,,fiba womens asia cup basketball continental winner china,,,,169463.375,5126.125,504731,143847,24194,106142,7790
2023-06-27,,,,,,,,,,,,,,,,,,,174589.5,5126.125,550201,160256,26658,172965,16844
2023-06-28,,,,the sierra leonean general election is held julius maada bio of the sierra leone peoples party is reelected president,,,,,,,,,,,,,,,179715.625,5126.125,554318,161821,26250,139084,14901
2023-06-29,,,,,,,,,,,,,,astronomers report using a new technique to detect for the first time the release of neutrinos from the galactic plane of the milky way galaxy,,,,,184841.75,5126.125,548969,163199,25913,117794,13273
2023-06-30,,,,,,,,,,the united nations security council votes unanimously to end minusma its peacekeeping mission in mali,,,,,,,,,189967.875,5126.125,570730,155817,25826,116514,14975
2023-07-01,,,,,,,,question takes effect in maryland legalizing cannabis for recreational use in the state the first licensed sales take place the same day,,,,,,,fiba womens americup basketball continental winner brazil u copa libertadores association football continental winner boca juniors fiba u womens european championship basketball continental winner slovenia,the esa space telescope euclid is launched beginning a sixyear mission to study dark energy and dark matter,,,195094.0,5126.125,1054222,322648,53672,749931,35352
2023-07-02,,,,,,,,,,,,the government of gonzalo capellán is sworn in in la rioja,,,austrian grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,,211560.0,16466.0,1778703,485964,77503,813043,55986
2023-07-03,,a mass shooting takes place in philadelphia pennsylvania killing five and injuring two the suspect was arrested later that day,,,,,,,,,,,,researchers demonstrate encoding and storing data small images as dna without new dna synthesis by recording light exposure into bacterial dna via optogenetic circuits the biological camera extends chemical and electrical interface techniques,uefa european under championship association football continental winner italy wimbledon championships tennis international winner men carlos alcarazwomen markéta vondrouová,,,,228026.0,16466.0,1770548,527272,87341,1333551,65864
2023-07-04,iran joins the shanghai cooperation organisation becoming the organizations ninth member,,,,,,,,,,,,,,european junior swimming championships swimming continental winner italy,,,,244492.0,16466.0,1662415,480542,85549,884279,40898
2023-07-05,,,,,,,,,,,,,,,aff u womens championship association football regional winner thailand,our plan for a sustainably open social network weve been exploring avenues of monetization other than traditional advertising and have raised a seed round to support our mission and growth purchase and manage domains directly through bluesky were excited to announce a new feature that allows users to seamlessly purchase and manage domains directly through bluesky,,,265950.0,21458.0,1381850,404355,67461,545250,31600
2023-07-06,,,,the hong kong electoral changes confirmed and approved by legislative council direct elected seats of district councilors decreased from out of to out of and will establish the district council eligibility review committee for review the eligibility of every district council candidates,,,,,,,,,,a study indicates release of methane from arctic glacial retreat will result in arctic emissions much higher than expected,us womens open golf international winner allisen corpuz,,,,270155.0,4205.0,1521826,424446,66403,439755,17625
2023-07-07,,,,,,,,,,,,,,,,,,,274360.0,4205.0,1267442,356504,60130,368584,17502
2023-07-08,,,,,,,,,,,,in the netherlands the governing coalition collapses and prime minister mark rutte announces his upcoming resignation,,,fiba u european championship basketball continental winner france fiba afrocan basketball continental winner morocco,,,,279187.3333333333,4827.333333333314,1075697,296708,54088,249633,12326
2023-07-09,,,,uzbek presidential election uzbek presidential election,,,,,,,,,,,british grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,,284014.6666666667,4827.333333333372,971297,267389,49189,207748,9971
2023-07-10,,six people including three children are killed and one injured in an early morning knife attack at a kindergarten in lianjiang guangdong,,,,,,,,,,,,,fiba under womens asian championship basketball continental winner australia,,,,288842.0,4827.333333333314,986089,279201,45889,190126,8737
2023-07-11,,,,,,,bank of america is ordered by the cfpb to pay million including a million fine for deceptive practices and misuse of overdraft fees,,,,,,,,major league baseball allstar game baseball domestic winner national league,,,,295765.4761904762,6923.476190476213,967495,274650,48146,183758,13277
2023-07-12,,,,,,,,,,,,,,,asian athletics championships athletics continental winner japan,,,,302688.95238095237,6923.476190476154,994408,288674,45865,199758,15555
2023-07-13,,,,,,,,the fda announces that the birth control pill norgestrel also known as opill will be available without a prescription,,,,pita limjaroenrat fails to become prime minister of thailand in a national assembly vote after forming a coalition with prodemocracy parties following the thai general election,,,european athletics u championships athletics continental winner great britain senior players championship golf international winner steve stricker fiba under african championship fiba u womens african championship basketball continental winner men guineawomen mali,,,,309612.4285714286,6923.476190476213,969780,267237,39257,190209,30162
2023-07-14,,,,,,,,,,,,,sagaftra announces it will begin a strike against the major film and tv studios in protest of low compensation ownership of work and generative ai,,world aquatics championships aquatics international winner china,the indian space research organisation isro successfully launches its chandrayaan spacecraft towards the moon aiming to become the fourth nation to achieve a soft landing on the lunar surface,,,316535.90476190473,6923.476190476154,925046,259620,38996,184325,17022
2023-07-15,,,,,,,,,,,,,,,rome eprix fe formula racing international winner race mitch evans jaguar tcs racingrace jake dennis avalanche andretti formula e fiba under womens basketball world cup basketball international winner united states,,,,323459.38095238095,6923.476190476213,838267,238835,39101,149924,16358
2023-07-16,,,,,,,,,,,,,,,mexico wins the concacaf gold cup final against panama at sofi stadium in inglewood california,,,,330382.85714285716,6923.476190476213,800943,246705,39275,144828,15451
2023-07-17,,,,,,,,the fda approves the drug nirsevimab also known as beyfortus which treats rsv in infants,,,,,,astronomers of the breakthrough listen project report the development of a novel technique that can help distinguish between potential deliberate artificial alien signals and earthbased radio interference via unique signatures from passing through ionized plasma of interstellar medium,,,,,337306.3333333333,6923.476190476154,835367,253653,39739,161144,8374
2023-07-18,,michigan attorney general dana nessel announces charges against protrump fake electors who attempted to overturn bidens victory in the state during the election,,,,,,,,,,,,the first example of naturally occurring graphene is reported at a gold mine in south africa,uefa womens under championship association football continental winner spain,,,,344229.8095238095,6923.476190476213,840808,262466,39640,143132,7590
2023-07-19,,,,,,typhoon doksuri forms in the eastern pacific ocean going on to kill people in southeast asia,,,,,,,,researchers report the discovery of selfhealing of fatigue cracks in metals in vacuum astronomers report the discovery of a bizarre twofaced star with one side made up of hydrogen and the other consisting of helium the object designated ztf j is a white dwarf located about light years away,hopman cup tennis international winner croatia uefaconmebol club challenge association football international winner sevilla,,,,351153.28571428574,6923.476190476213,911649,279557,39986,131147,10775
2023-07-20,,,,,,,,,,bolivia and iran sign a memorandum of understanding in an upgrade of bilateral relations expanding cooperation in the security and defense sectors,,,,,open championship golf international winner brian harman fifa womens world cup association football international winner spain,,,,358076.7619047619,6923.476190476154,849624,253765,39520,111893,10452
2023-07-21,,,,,the films barbie and oppenheimer open while being paired as a major internet and cultural event barbenheimer,,,,,,,,,a study provides evidence for elements of the theory of bullshit jobs which was formalized and popularized in showing that many workers consider their jobs of contemporary economics as objectively useless to society,nacac u and u championships in athletics athletics continental winner united states,,,warner bros barbie and universals oppenheimer are both released causing the barbenheimer cultural phenomenon which encouraged moviegoers to see both films as a double feature the two movies end up being the highest and third highest grossing movies of the year respectively,365000.2380952381,6923.476190476213,825899,239158,38743,118474,9554
2023-07-22,,,,,,,,,,,,,,,fiba u european championship basketball continental winner serbia,,,,371923.7142857143,6923.476190476213,751553,214613,38067,138212,10948
2023-07-23,,qiqihar school gymnasium collapse people are killed by the collapse of a school gym in qiqihar heilongjiang,,cambodian general election cambodian general election,,,,,,,,spanish general election spanish general election,,,hungarian grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,,378847.1904761905,6923.476190476154,853067,238271,43622,201335,10789
2023-07-24,,,,,,,,,,,,,,,,tencent announced its intent to acquire majority shares of techland,,,385770.6666666667,6923.476190476213,1456601,404304,78985,870744,16734
2023-07-25,,,,,,,,,,,,,a controversial study finds that a collapse of the atlantic meridional overturning circulation amoc is highly likely this century and may occur as early as the confidence interval is between and,,,,,,392694.14285714284,6923.476190476154,1623638,442079,88988,801760,16086
2023-07-26,,,,,,,,,,,,president mohamed bazoum of niger is toppled in a coup détat after members of his presidential guard and the armed forces seize control of the country and install general abdourahamane tchiani as leader of a military junta,,,,darpa in collaboration with nasa begins work on the first inorbit demonstration of a nuclear thermal rocket engine,,,399617.61904761905,6923.476190476213,1500660,411984,77698,507588,19457
2023-07-27,,federal prosecution of donald trump special counsel jack smith charges maralago maintenance chief carlos de oliveira and levies additional charges against walt nauta and trump,,,,the longest known cryptobiosis in a nematode is reported with an organism revived after years in siberian permafrost,,,,,,,,,evian championship golf international winner céline boutier senior open championship golf international winner alex cejka,algorithmic choice with custom feeds our implementation of algorithmic choice lets users customize one of the most important parts of their social media experience their feed,,,406541.09523809527,6923.476190476213,1384176,380427,71743,413456,10013
2023-07-28,,,,,,,,,,,,,,a phylogenetic study proposes a hybrid of the farming and steppe hypotheses for the origin of indoeuropean languages contradicting elements of both,womens afrobasket basketball continental winner nigeria u baseball world cup baseball international winner united states south american championships in athletics athletics continental winner brazil,,,,413464.5714285714,6923.476190476154,1348581,379886,70890,380169,13769
2023-07-29,,,,,,,,,,,,,,,fiba u womens european championship basketball continental winner france london eprix fe formula racing international winner race mitch evans jaguar tcs racingrace nick cassidy envision racing,,,,420388.04761904763,6923.476190476213,1272455,347645,69217,336567,12452
2023-07-30,,people are killed and over are injured after a suicide bombing occurs in khar pakistan the islamic state khorasan province claims responsibility for the attack,,,,,,,,,,central african constitutional referendum,,,belgian grand prix f formula racing international winner max verstappen red bull racinghonda rbpt,,,,427311.5238095238,6923.476190476154,1240074,332681,68309,344054,17563
2023-07-31,,,,,,,,,,,,,,,,the vogtle electric generating plant begins operations at its unit reactor americas first new nuclear reactor in seven years,,,434235.0,6923.476190476213,1343344,366958,69950,380022,14100
2023-08-01,,,,,,global warming the worlds oceans reach a new record high temperature of c f exceeding the previous record in july is also the hottest month on record for globally averaged surface air temperatures by a considerable margin c f,,,,,,,,,,,,,445987.3333333333,11752.333333333314,1419014,401067,75131,416815,9433
2023-08-02,,,,,,typhoon doksuri brings heavy rainfall to beijing and hebei in changping it sets a maximum rainfall record since recordkeeping began in at least people are killed and missing by flooding in localities of beijing hebei jilin and liaoning,,,,,,,,,,,,,457739.6666666667,11752.333333333372,1420440,390440,71975,400142,7998
2023-08-03,,pittsburgh synagogue shooting perpetrator robert gregory bowers is sentenced to the death penalty,,,,,,,,,,,,dogxim the nowdead first known hybrid of a fox and a domesticated dog discovered in the wild in brazil in is reported,uci cycling world championships cycling international winner great britain,,,,469492.0,11752.333333333314,1387465,396051,73049,442436,11050
2023-08-04,,,,,,,,,,,,,riots break out in new york citys union square during a ps giveaway hosted by internet streamer kai cenat dozens of people are arrested including cenat himself and several police officers are injured,,pan american u athletics championships athletics continental winner united states,,,,481244.3333333333,11752.333333333314,1395244,404218,77902,459283,11671
2023-08-05,,a large brawl occurs on montgomerys riverfront dock,,,,,,,,,,,,,fiba u european championship basketball continental winner spain,,,,492996.6666666667,11752.333333333372,1223352,346913,73970,385172,7667
2023-08-06,,,,,,,,,,,,,,,at the fifa womens world cup the united states loses in the round of to sweden in penalties after tying making it the first time in the womens world cup that the united states failed to reach either the quarterfinals or the semifinals,,,,504749.0,11752.333333333314,1220257,339452,71511,520623,12640
2023-08-07,,former minneapolis police officer tou thao is sentenced to four years and nine months in prison for his actions in the murder of george floyd,,,,,,,,,,,,,canadian open tennis international winner men jannik sinnerwomen jessica pegula european athletics u championships athletics continental winner germany,,,,516501.3333333334,11752.333333333372,1358291,381959,72971,513052,23113
2023-08-08,,,,,,hawaii wildfires acres of land are burned and at least people are killed with two others missing when a series of wildfires break out on the island of maui in hawaii,,,,,,ohioans voted to reject issue by a margin of against to in favor if passed the ballot measure would have required future constitutional amendments to be passed by a margin among other changes as opposed to the existing margin for approval the ballot measure was widely seen as a litmus test for a november vote to codify abortion rights in the republicanled state,,,,,,,528253.6666666666,11752.333333333256,1341527,387765,72532,395343,18043
2023-08-09,,,,,taylor swift completes the first us leg of the eras tour at sofi stadium in los angeles which has had a wide impact on the united states economy and culture,,,,,,,,,,,,,,540006.0,11752.333333333372,1392387,401610,70958,344666,12084
2023-08-10,,,,,,,,,,,quakecon returned as a live inperson event in grapevine texas following three years of digital formats due to the covid pandemic,,,scientists at fermilab report the most precise measurement yet of the magnetic moment of the muon the particles are shown to wobble faster than predicted by the standard model hinting at a possible fifth fundamental force,womens british open golf international winner lilia vu tapestry owner of kate spade and coach announces it will buy capri holdings owner of michael kors versace and jimmy choo for billion in cash fedex cup playoffs golf international winner st jude championship lucas gloverbmw championship viktor hovlandtour championship viktor hovland tapestry the holding company of coach new york and kate spade announces it will acquire michael kors capri holdings which also owns versace and jimmy choo,,,,551758.3333333334,11752.333333333372,1379146,406451,70883,302524,10377
2023-08-11,,,,,the pokémon world championships took place at the pacifico yokohama convention center in yokohama japan,people are killed and are missing after a flash flood and landslides in the village of weiziping in changan xian,,,,,,,,,european u swimming championships swimming continental winner ireland fiba u womens european championship basketball continental winner france,,,the united states reports it recorded its highest number of suicides in with people taking their own lives making it the deadliest suicide rate in the country since world war ii,563510.6666666666,11752.333333333256,1400580,416014,74068,310978,11175
2023-08-12,,,,malaysian state elections,,,,,,,,the azcón government is sworn in,,amateur astronomer hideo nishimura announces the discovery of comet nishimura officially c p nishimura a longperiod comet that may be observable in the first days of september before sunrise,,,,,575263.0,11752.333333333372,1239804,361232,70327,327490,9299
2023-08-13,,,,,,,,,,,,,,,cincinnati masters tennis international winner men novak djokovicwomen coco gauff,,,,587015.3333333334,11752.333333333372,1250385,360473,70755,307917,11823
2023-08-14,,trump is indicted in atlanta on counts including racketeering for his attempts to overturn president bidens victory in georgia during the election indictments are also announced against trump associates,,,,,,,,,,,,,,,,,598767.6666666667,11752.333333333372,1359316,394879,72995,386080,15597
2023-08-15,,,,,,tenerife wildfire the worst in the canary islands in years,,,,,,,,,,,,,610520.0,11752.333333333256,1505275,428669,79705,425458,9666
2023-08-16,,,,,,,,,,,,,,,uefa super cup association football continental winner manchester city,,,,622272.3333333334,11752.333333333372,1496615,440154,79360,407418,16299
2023-08-17,,,,,,,,,,,,,,scientists publish what could be the first study both investigating climatepolluting investments and proposing taxation thereof as transformative revenue for climate finance ia indicating of total us emissions were associated with income flows to the highest earning of households in with a growing emissions inequality,aff u championship association football regional winner vietnam little league world series baseball domestic winner el segundo little league,,,,634024.6666666667,11752.333333333372,1561151,451240,79796,407560,11164
2023-08-18,,,,,sega sammy group completed the acquisition of rovio entertainment for usm,,,,,americanjapanesekorean trilateral pact the united states japan and south korea agree to sign a trilateral pact at camp david maryland americanjapanesekorean trilateral pact the united states japan and south korea agree to sign a trilateral pact,,,,a study investigating public policies and spending as well as lobbying activities regarding a transition to a sustainable food system finds that governments largely ignore the climatemitigation potential of animal product analogs and that food production has lockin problems,,,,,645777.0,11752.333333333256,1718732,469254,87868,701722,18082
2023-08-19,,,,,,,,,,,,,,,world athletics championships athletics international winner united states,,,,657529.3333333334,11752.333333333372,1961549,530344,109070,1017980,37645
